Time (s),CH1 Voltage (V),CH2 Current Filtered (mA),Phase Live Time (s),Phase(CH2-CH1) (deg),|Y| (S),|Y| (mS),|Z| (ohm),G (S),B (S)
0.0,0.304,-8.423192635847257e-05,0.0,76.3505334589828,2.622261053436504e-06,0.0026222610534365038,381350.284972386,6.188042361317014e-07,2.5482021799133963e-06
8e-06,0.152,-0.0006193942362343451,0.3381831645965576,76.3201683804711,3.0302917001149047e-06,0.0030302917001149045,330001.2338621003,7.16652294992312e-07,2.944329681925503e-06
1.6e-05,-0.016,-0.0021718577446436112,0.7046499252319336,78.12930382623574,3.2398082339642136e-06,0.0032398082339642137,308660.2439973445,6.664405466535712e-07,3.1705227314495644e-06
2.4e-05,-0.184,-0.004934674475698827,1.0324287414550781,77.43780601092374,3.3075093699860087e-06,0.0033075093699860086,302342.30296503444,7.193807929711425e-07,3.2283292129597707e-06
3.2e-05,-0.328,-0.008314484207568487,1.4170849323272705,77.74368058686895,3.48906484020255e-06,0.00348906484020255,286609.74954594055,7.406777141485297e-07,3.409541022322705e-06
3.9999999999999996e-05,-0.424,-0.011165777048419968,1.7337565422058105,80.63955587828627,3.673287885434468e-06,0.003673287885434468,272235.6731050832,5.97441222594706e-07,3.624376894698476e-06
4.8e-05,-0.464,-0.012358862321355444,2.258466958999634,79.5403282304689,3.918908544262863e-06,0.003918908544262863,255173.0893194645,7.114520057592147e-07,3.853787775915749e-06
5.6e-05,-0.424,-0.011280035663947172,2.629976511001587,79.05063432458059,4.013414179019555e-06,0.004013414179019555,249164.41597968643,7.623135962968314e-07,3.940351678880478e-06
6.4e-05,-0.328,-0.008031725117218703,2.960919141769409,79.66331655348421,4.185483273899144e-06,0.004185483273899144,238921.0360094003,7.510100859729535e-07,4.117554381772801e-06
7.2e-05,-0.184,-0.003269857709671284,3.3317973613739014,79.25013107219917,4.408079421055845e-06,0.004408079421055845,226856.16670683192,8.222028575271407e-07,4.330721261338605e-06
7.999999999999999e-05,-0.016,0.0020818106274542517,3.662170886993408,80.99766345834155,4.546851075702409e-06,0.004546851075702409,219932.42869638468,7.114673543549383e-07,4.490842783743753e-06
8.8e-05,0.14400000000000002,0.007049280847476835,4.035043478012085,80.50204416689917,4.73608948463627e-06,0.00473608948463627,211144.6591632125,7.815135758650947e-07,4.67116475166749e-06
9.6e-05,0.296,0.010816722818684716,4.554259300231934,81.13313350025805,4.901857304299158e-06,0.004901857304299158,204004.30651519645,7.555675519619575e-07,4.843276030346941e-06
0.000104,0.40800000000000003,0.012884419447211363,4.92576265335083,81.95121579566421,5.184642796257933e-06,0.005184642796257933,192877.31851493413,7.259340303640266e-07,5.133569976960353e-06
0.000112,0.456,0.01306253233820127,5.256407976150513,80.22000422277029,5.309437816092715e-06,0.005309437816092714,188343.85760560865,9.018900116335204e-07,5.232277164855764e-06
0.00011999999999999999,0.44,0.011394407335775276,5.628083944320679,82.00164925527537,5.430382708287899e-06,0.005430382708287899,184149.0837236556,7.556084086167126e-07,5.377556349430467e-06
0.000128,0.36,0.008123423547039167,5.960759878158569,81.15165887639108,5.598754131606805e-06,0.005598754131606805,178611.16535814133,8.611979063189642e-07,5.5321230998899606e-06
0.000136,0.224,0.0036945435524083745,6.333041667938232,82.67906596219876,5.817237172135533e-06,0.005817237172135533,171902.91033516443,7.412731188708501e-07,5.769814770000411e-06
0.000144,0.056,-0.0012572129506438282,6.852990388870239,82.75657518277097,5.942342192884971e-06,0.005942342192884971,168283.8126012575,7.492409713598363e-07,5.894918888685131e-06
0.00015199999999999998,-0.12,-0.005993233883687332,7.223170518875122,83.11908933597874,6.094794459103229e-06,0.006094794459103229,164074.44200294447,7.301933926744013e-07,6.050895562477514e-06
0.00015999999999999999,-0.272,-0.009819781541984377,7.553843021392822,82.6561538061157,6.390244716651246e-06,0.006390244716651246,156488.5296793519,8.168242692830001e-07,6.3378249937813405e-06
0.000168,-0.392,-0.012207229435233637,7.925303220748901,83.54775009918234,6.574120298021726e-06,0.006574120298021726,152111.6065218518,7.38767657935153e-07,6.532478858783263e-06
0.000176,-0.456,-0.012844350966215685,8.256836414337158,83.21299103951719,6.8135858271791515e-06,0.006813585827179151,146765.59822744664,8.052215591038774e-07,6.7658384598725764e-06
0.000184,-0.448,-0.011657401069424709,8.627950429916382,83.30449647631798,6.89493363203846e-06,0.00689493363203846,145034.02837024175,8.038995792210748e-07,6.847908823629536e-06
0.000192,-0.376,-0.008805751038732542,9.143296003341675,83.05381567427827,7.103574579986191e-06,0.0071035745799861915,140774.19596852377,8.590852134121196e-07,7.05143562755292e-06
0.00019999999999999998,-0.248,-0.004659165238917668,9.515635251998901,83.60953038587678,7.531434143103047e-06,0.007531434143103047,132776.83652266357,8.382759643224072e-07,7.484637176212196e-06
0.000208,-0.088,0.00022139271237718518,9.847447633743286,83.53139912529866,7.787553815242735e-06,0.0077875538152427344,128410.02755482473,8.773357000418022e-07,7.737976253177173e-06
0.000216,0.07200000000000001,0.005120996848738858,10.217913150787354,83.61233445371056,7.949842507307981e-06,0.00794984250730798,125788.65544578258,8.844596837819114e-07,7.90048903288684e-06
