Time (s),Frequency (Hz),CH1 Voltage (V),CH2 Current Filtered (mA),Phase Live Time (s),Phase(CH2-CH1) (deg),|Y| (S),|Y| (mS),|Z| (ohm),G (S),B (S)
0.0,480.8091,0.264,8.943996301611679e-11,27.566059112548828,84.0500266349784,1.962963417402658e-05,0.01962963417402658,50943.38443266426,2.034809392606371e-06,1.9523885078074832e-05
8e-06,500.6521,0.264,7.084723910706272e-10,27.93994927406311,83.90888511336942,2.0253862875691384e-05,0.020253862875691385,49373.29763401314,2.1491348299916553e-06,2.0139517890700026e-05
1.6e-05,544.6719,0.272,2.8287452890280327e-09,28.457118034362793,83.76898074787982,2.0792463819826794e-05,0.020792463819826794,48094.34844592315,2.2567633171498286e-06,2.0669629194283414e-05
2.4e-05,581.4548,0.272,7.91015751407836e-09,28.780580043792725,83.64889590272963,2.202287174348263e-05,0.02202287174348263,45407.338863331315,2.436188035196345e-06,2.1887710425877162e-05
3.2e-05,620.6184,0.28,1.788916176216683e-08,29.1567862033844,82.98239307228698,2.2866875502090104e-05,0.022866875502090104,43731.379038146115,2.793745558314297e-06,2.2695571836450555e-05
3.9999999999999996e-05,664.0557,0.28800000000000003,3.513659858086133e-08,29.482120990753174,82.7139744887437,2.3451097067448917e-05,0.023451097067448915,42641.92831251554,2.974131001002132e-06,2.3261738938776467e-05
4.8e-05,686.0892,0.28800000000000003,6.232783648379244e-08,29.858683586120605,82.2181427476184,2.479676773885054e-05,0.024796767738850537,40327.83669757255,3.357528093369686e-06,2.456840848318694e-05
5.6e-05,721.314,0.296,1.0250054330815307e-07,30.191807985305786,81.09907541455664,2.6838871258681692e-05,0.02683887125868169,37259.39106610251,4.152680025625029e-06,2.6515660637533908e-05
6.4e-05,757.3617,0.304,1.591664203883614e-07,30.701449155807495,80.117040469588,2.7575651318671488e-05,0.027575651318671488,36263.87599856615,4.732977496828148e-06,2.7166440136010954e-05
7.2e-05,776.3367,0.304,2.3626375253730043e-07,31.07617998123169,76.8217313225851,3.0457963163209792e-05,0.03045796316320979,32832.13636583227,6.943854920098049e-06,2.965586618023616e-05
7.999999999999999e-05,836.2665,0.32,3.3808219699038035e-07,31.404202461242676,75.8204735935937,3.172285611636132e-05,0.031722856116361324,31523.0128186422,7.77086118509571e-06,3.075635408531603e-05
8.8e-05,857.301,0.32,4.692217361177365e-07,31.739646434783936,73.58154656486687,3.383638353786215e-05,0.03383638353786215,29553.985841336224,9.563867731211554e-06,3.2456636993705906e-05
9.6e-05,902.2615,0.328,6.34523674868486e-07,32.11244058609009,70.48047284842534,3.790555835952299e-05,0.03790555835952299,26381.355222769605,1.2665312360855527e-05,3.572703762347451e-05
0.000104,947.1112,0.328,8.389759845633097e-07,32.43956780433655,67.43499356207798,4.268708151242496e-05,0.042687081512424965,23426.291153423765,1.6380373453587105e-05,3.941916150261738e-05
0.000112,986.6905,0.336,1.0876846422402062e-06,32.952353954315186,55.66547711791654,5.026534720066666e-05,0.05026534720066666,19894.421419349852,2.835084722016929e-05,4.15070426687109e-05
0.00011999999999999999,1002.7,0.336,1.3858762239576455e-06,33.37534832954407,39.3200458093051,5.845214930721219e-05,0.058452149307212195,17108.010772096855,4.521966782929011e-05,3.7038296397665106e-05
0.000128,1054.5,0.34400000000000003,1.7388399238324143e-06,33.70042061805725,19.38347660818934,5.988656666188433e-05,0.05988656666188433,16698.235610098258,5.6492100836190045e-05,1.9875698972917955e-05
0.000136,1072.0,0.34400000000000003,2.15187337803516e-06,34.0339994430542,2.1364019959592326,5.236529869689201e-05,0.052365298696892014,19096.6159820521,5.2328900157536086e-05,1.9521055087623813e-06
0.000144,1107.3,0.352,2.63026197382436e-06,34.41161823272705,-9.971550907695274,4.243544137025735e-05,0.04243544137025735,23565.207941984358,4.1794405363276495e-05,-7.348085779213098e-06
0.00015199999999999998,1144.5,0.352,3.1793189773293013e-06,34.73835635185242,-14.227103057371323,3.7349605494196704e-05,0.037349605494196705,26774.044511805558,3.6204063282036045e-05,-9.179260996532239e-06
0.00015999999999999999,1179.8,0.36,3.8044519337442753e-06,35.256633281707764,-19.26536986354327,2.861524301811612e-05,0.02861524301811612,34946.40948416571,2.7012805014483176e-05,-9.441424587177301e-06
0.000168,1203.5,0.368,4.511104075907288e-06,35.622764348983765,-20.60889732898852,2.2249964373709676e-05,0.022249964373709675,44943.89218805175,2.082607540667332e-05,-7.83169826965432e-06
0.000176,1265.0,0.368,5.304640005164128e-06,35.959927558898926,-21.238942435017236,1.7752544505560322e-05,0.01775254450556032,56329.95313357966,1.6546752612497e-05,-6.431004151975314e-06
0.000184,1286.0,0.376,6.190239832300244e-06,36.326502561569214,-25.807690616854984,1.4233344031781478e-05,0.014233344031781477,70257.55843230593,1.2813715190158968e-05,-6.196513967751443e-06
0.000192,1329.4,0.376,7.172801458302251e-06,36.66397476196289,-32.259868596260844,1.199857534670158e-05,0.01199857534670158,83343.22793371472,1.01464260579893e-05,-6.4043616856194715e-06
0.00019999999999999998,1374.0,0.384,8.256969935120273e-06,36.989173889160156,-43.34083827990429,5.703938621068434e-06,0.005703938621068434,175317.45455786213,4.14838185451229e-06,-3.914823595268278e-06
0.000208,1395.8,0.392,9.447224577306681e-06,37.50061058998108,26.82992680651617,2.106609967613114e-06,0.002106609967613114,474696.3203316872,1.8798338127730734e-06,9.508051283002079e-07
0.000216,1445.4,0.392,1.0747959572544503e-05,37.877989053726196,63.712797941975,4.538718487805745e-06,0.004538718487805745,220326.5090546412,2.010066500320154e-06,4.069348618125554e-06
0.000224,1492.5,0.4,1.2163558348117588e-05,38.2013955116272,77.83395144001815,6.6482618721328115e-06,0.006648261872132811,150415.25427746013,1.4010917876872181e-06,6.498948201280751e-06
0.000232,1542.6,0.4,1.3698312877661203e-05,38.53737807273865,78.86746159888594,7.623694714502715e-06,0.007623694714502715,131169.99531705785,1.4719769813113512e-06,7.4802409631258645e-06
0.00023999999999999998,1592.3,0.4,1.535625954526829e-05,38.90392446517944,80.34372324249932,9.140492656685862e-06,0.009140492656685862,109403.29340656979,1.5331999677985282e-06,9.010987951699345e-06
0.000248,1621.1,0.40800000000000003,1.7141147081518366e-05,39.234702825546265,81.8471686563368,1.0421397774462088e-05,0.010421397774462089,95956.41790495,1.4779006647559735e-06,1.0316071984950338e-05
0.000256,1648.7,0.40800000000000003,1.90564968617032e-05,39.75050640106201,81.0527510791369,1.054775896750529e-05,0.01054775896750529,94806.86874631111,1.6404407824895189e-06,1.0419413288459838e-05
