Time_us;Emitter_V;Receiver_V;Envelope_V
-125,984000;-0,080000;0,000000;0,012562
-125,952000;0,000000;0,000000;0,012402
-125,920000;-0,080000;0,000000;0,012095
-125,888000;0,000000;0,000000;0,011665
-125,856000;-0,080000;0,000000;0,011143
-125,824000;-0,080000;0,000000;0,010562
-125,792000;-0,080000;0,000000;0,009955
-125,760000;-0,080000;-0,002664;0,009350
-125,728000;-0,080000;0,000000;0,008766
-125,696000;0,000000;0,000000;0,008218
-125,664000;0,000000;0,000000;0,007714
-125,632000;-0,080000;0,000000;0,007257
-125,600000;0,000000;0,000000;0,006846
-125,568000;0,000000;0,000000;0,006478
-125,536000;0,000000;0,000000;0,006151
-125,504000;-0,080000;0,000000;0,005860
-125,472000;0,000000;0,000000;0,005600
-125,440000;0,000000;0,000000;0,005366
-125,408000;0,000000;-0,002664;0,005152
-125,376000;0,000000;0,000000;0,004954
-125,344000;0,000000;0,000000;0,004766
-125,312000;-0,080000;0,000000;0,004585
-125,280000;0,000000;0,000000;0,004408
-125,248000;0,000000;0,000000;0,004234
-125,216000;0,000000;0,000000;0,004063
-125,184000;0,000000;0,000000;0,003896
-125,152000;0,000000;0,000000;0,003734
-125,120000;-0,080000;0,000000;0,003579
-125,088000;-0,080000;0,000000;0,003433
-125,056000;0,000000;0,000000;0,003299
-125,024000;0,000000;0,000000;0,003178
-124,992000;-0,080000;0,000000;0,003069
-124,960000;0,000000;0,000000;0,002975
-124,928000;0,000000;0,000000;0,002893
-124,896000;0,000000;0,000000;0,002822
-124,864000;0,080000;-0,002664;0,002762
-124,832000;0,000000;0,000000;0,002709
-124,800000;-0,080000;0,000000;0,002662
-124,768000;0,000000;0,000000;0,002618
-124,736000;0,000000;0,000000;0,002578
-124,704000;0,000000;0,000000;0,002539
-124,672000;0,000000;-0,002664;0,002501
-124,640000;0,000000;0,000000;0,002463
-124,608000;0,000000;0,000000;0,002424
-124,576000;0,000000;0,000000;0,002383
-124,544000;0,000000;0,000000;0,002339
-124,512000;-0,080000;0,000000;0,002290
-124,480000;0,000000;-0,002664;0,002236
-124,448000;0,000000;0,000000;0,002175
-124,416000;0,000000;0,000000;0,002107
-124,384000;0,000000;0,000000;0,002033
-124,352000;-0,080000;0,000000;0,001954
-124,320000;0,000000;0,000000;0,001871
-124,288000;0,000000;0,000000;0,001788
-124,256000;0,000000;0,000000;0,001709
-124,224000;-0,080000;0,000000;0,001636
-124,192000;0,000000;0,000000;0,001572
-124,160000;0,000000;0,000000;0,001521
-124,128000;0,000000;0,000000;0,001483
-124,096000;0,000000;0,000000;0,001458
-124,064000;-0,080000;0,000000;0,001445
-124,032000;0,000000;0,000000;0,001443
-124,000000;0,000000;0,000000;0,001447
-123,968000;0,000000;-0,002664;0,001455
-123,936000;0,000000;0,000000;0,001463
-123,904000;0,000000;0,000000;0,001470
-123,872000;0,000000;0,000000;0,001472
-123,840000;0,000000;-0,002664;0,001472
-123,808000;0,000000;0,000000;0,001468
-123,776000;-0,080000;0,000000;0,001462
-123,744000;-0,080000;0,000000;0,001457
-123,712000;-0,080000;0,000000;0,001455
-123,680000;0,000000;0,000000;0,001456
-123,648000;0,000000;0,000000;0,001461
-123,616000;0,000000;-0,002664;0,001470
-123,584000;-0,080000;0,000000;0,001482
-123,552000;-0,080000;0,000000;0,001494
-123,520000;0,000000;0,000000;0,001504
-123,488000;0,000000;0,000000;0,001512
-123,456000;0,000000;-0,002664;0,001514
-123,424000;0,000000;0,000000;0,001512
-123,392000;0,000000;-0,002664;0,001507
-123,360000;-0,080000;0,000000;0,001500
-123,328000;0,080000;0,000000;0,001494
-123,296000;0,000000;0,000000;0,001492
-123,264000;0,000000;0,000000;0,001496
-123,232000;0,000000;0,000000;0,001508
-123,200000;0,000000;-0,002664;0,001528
-123,168000;-0,080000;0,000000;0,001554
-123,136000;0,000000;0,000000;0,001585
-123,104000;0,000000;0,000000;0,001616
-123,072000;-0,080000;-0,002664;0,001646
-123,040000;0,000000;-0,002664;0,001670
-123,008000;0,000000;0,000000;0,001686
-122,976000;0,000000;0,000000;0,001695
-122,944000;0,000000;-0,002664;0,001695
-122,912000;0,000000;0,000000;0,001687
-122,880000;-0,080000;0,000000;0,001674
-122,848000;0,000000;0,000000;0,001655
-122,816000;0,000000;0,000000;0,001633
-122,784000;0,000000;-0,002664;0,001608
-122,752000;-0,080000;0,000000;0,001584
-122,720000;0,000000;0,000000;0,001561
-122,688000;0,000000;-0,002664;0,001542
-122,656000;0,000000;0,000000;0,001530
-122,624000;-0,080000;0,000000;0,001529
-122,592000;-0,080000;0,000000;0,001539
-122,560000;0,000000;0,000000;0,001562
-122,528000;0,000000;0,000000;0,001594
-122,496000;0,000000;0,000000;0,001634
-122,464000;0,000000;-0,002664;0,001675
-122,432000;-0,080000;-0,002664;0,001711
-122,400000;-0,080000;0,000000;0,001737
-122,368000;0,000000;0,000000;0,001749
-122,336000;-0,080000;-0,002664;0,001745
-122,304000;-0,080000;-0,002664;0,001723
