Time_us;Emitter_V;Receiver_V;Envelope_V
-125,984000;0,000000;0,000000;0,011949
-125,952000;0,000000;-0,002664;0,011810
-125,920000;0,000000;-0,002664;0,011544
-125,888000;0,000000;0,000000;0,011170
-125,856000;0,000000;0,000000;0,010716
-125,824000;0,000000;-0,002664;0,010209
-125,792000;0,000000;-0,002664;0,009676
-125,760000;0,000000;-0,002664;0,009139
-125,728000;-0,080000;0,000000;0,008615
-125,696000;-0,080000;-0,002664;0,008112
-125,664000;-0,080000;0,000000;0,007636
-125,632000;0,000000;0,000000;0,007188
-125,600000;0,000000;-0,002664;0,006765
-125,568000;-0,080000;0,000000;0,006366
-125,536000;-0,080000;0,000000;0,005989
-125,504000;-0,080000;0,000000;0,005633
-125,472000;0,000000;0,000000;0,005298
-125,440000;0,000000;0,000000;0,004982
-125,408000;-0,080000;0,000000;0,004687
-125,376000;0,000000;0,000000;0,004413
-125,344000;0,000000;-0,002664;0,004160
-125,312000;-0,080000;0,000000;0,003928
-125,280000;0,000000;0,000000;0,003719
-125,248000;0,000000;0,000000;0,003534
-125,216000;0,000000;0,000000;0,003375
-125,184000;0,000000;0,000000;0,003243
-125,152000;-0,080000;0,000000;0,003139
-125,120000;-0,080000;0,000000;0,003061
-125,088000;-0,080000;-0,002664;0,003007
-125,056000;0,000000;0,000000;0,002974
-125,024000;-0,080000;-0,002664;0,002955
-124,992000;0,000000;-0,002664;0,002945
-124,960000;0,000000;0,000000;0,002936
-124,928000;0,000000;-0,002664;0,002924
-124,896000;0,000000;0,000000;0,002903
-124,864000;0,000000;-0,002664;0,002871
-124,832000;0,000000;-0,002664;0,002827
-124,800000;-0,080000;0,000000;0,002773
-124,768000;0,000000;0,000000;0,002710
-124,736000;0,000000;-0,002664;0,002643
-124,704000;0,000000;0,000000;0,002575
-124,672000;0,000000;0,000000;0,002510
-124,640000;-0,080000;0,000000;0,002450
-124,608000;0,000000;-0,002664;0,002396
-124,576000;0,000000;0,000000;0,002348
-124,544000;0,000000;-0,002664;0,002303
-124,512000;0,000000;0,000000;0,002259
-124,480000;0,000000;0,000000;0,002214
-124,448000;0,000000;-0,002664;0,002166
-124,416000;0,000000;-0,002664;0,002114
-124,384000;0,000000;0,000000;0,002062
-124,352000;0,000000;0,000000;0,002011
-124,320000;-0,080000;0,000000;0,001967
-124,288000;-0,080000;0,000000;0,001933
-124,256000;0,000000;0,000000;0,001913
-124,224000;-0,080000;0,000000;0,001909
-124,192000;0,000000;0,000000;0,001918
-124,160000;0,000000;-0,002664;0,001938
-124,128000;-0,080000;-0,002664;0,001964
-124,096000;-0,080000;0,000000;0,001991
-124,064000;0,000000;-0,002664;0,002013
-124,032000;-0,080000;-0,002664;0,002029
-124,000000;-0,080000;0,000000;0,002035
-123,968000;0,000000;-0,002664;0,002033
-123,936000;0,000000;0,000000;0,002025
-123,904000;0,000000;0,000000;0,002014
-123,872000;0,000000;0,000000;0,002002
-123,840000;0,000000;-0,002664;0,001994
-123,808000;0,000000;0,000000;0,001990
-123,776000;0,000000;-0,002664;0,001993
-123,744000;0,000000;0,000000;0,002002
-123,712000;-0,080000;0,000000;0,002020
-123,680000;0,000000;-0,002664;0,002045
-123,648000;-0,080000;0,000000;0,002077
-123,616000;0,000000;0,000000;0,002117
-123,584000;-0,080000;-0,002664;0,002162
-123,552000;0,000000;0,000000;0,002213
-123,520000;0,000000;0,000000;0,002266
-123,488000;0,000000;0,000000;0,002322
-123,456000;0,000000;-0,005328;0,002380
-123,424000;0,000000;-0,002664;0,002440
-123,392000;0,000000;0,000000;0,002503
-123,360000;-0,080000;0,000000;0,002572
-123,328000;-0,080000;0,000000;0,002646
-123,296000;0,000000;-0,002664;0,002723
-123,264000;0,000000;0,000000;0,002802
-123,232000;0,000000;0,000000;0,002876
-123,200000;0,000000;-0,002664;0,002938
-123,168000;0,000000;-0,005328;0,002981
-123,136000;0,000000;0,002664;0,003000
-123,104000;0,000000;0,000000;0,002992
-123,072000;0,000000;-0,005328;0,002958
-123,040000;0,000000;0,000000;0,002903
-123,008000;0,000000;0,000000;0,002834
-122,976000;0,000000;0,000000;0,002759
-122,944000;-0,080000;0,000000;0,002684
-122,912000;-0,080000;-0,002664;0,002616
-122,880000;0,000000;0,000000;0,002557
-122,848000;-0,080000;0,002664;0,002509
-122,816000;0,000000;-0,002664;0,002471
-122,784000;-0,080000;-0,002664;0,002443
-122,752000;0,000000;0,000000;0,002424
-122,720000;0,000000;0,000000;0,002411
-122,688000;0,000000;-0,002664;0,002405
-122,656000;0,000000;-0,002664;0,002404
-122,624000;0,000000;0,000000;0,002406
-122,592000;0,000000;0,000000;0,002408
-122,560000;0,000000;-0,002664;0,002408
-122,528000;-0,080000;-0,002664;0,002403
-122,496000;0,000000;0,000000;0,002389
-122,464000;0,000000;0,002664;0,002366
-122,432000;0,000000;-0,002664;0,002334
-122,400000;-0,080000;-0,002664;0,002294
