Time_us;Emitter_V;Receiver_V;Envelope_V
-20,976000;0,000000;0,000000;0,147246
-20,960000;-0,080000;0,004000;0,145914
-20,944000;-0,080000;0,004000;0,143353
-20,928000;0,000000;0,000000;0,139752
-20,912000;0,000000;0,004000;0,135360
-20,896000;0,000000;0,000000;0,130449
-20,880000;0,000000;0,004000;0,125280
-20,864000;0,000000;0,000000;0,120081
-20,848000;-0,080000;0,000000;0,115027
-20,832000;0,000000;0,004000;0,110235
-20,816000;0,000000;0,004000;0,105774
-20,800000;-0,080000;0,004000;0,101669
-20,784000;0,000000;0,004000;0,097917
-20,768000;0,000000;0,004000;0,094498
-20,752000;0,000000;0,004000;0,091385
-20,736000;0,000000;0,004000;0,088548
-20,720000;-0,080000;0,004000;0,085958
-20,704000;-0,080000;0,004000;0,083591
-20,688000;0,000000;0,000000;0,081421
-20,672000;0,000000;0,004000;0,079426
-20,656000;0,000000;0,000000;0,077584
-20,640000;-0,080000;0,000000;0,075877
-20,624000;0,000000;0,004000;0,074287
-20,608000;-0,080000;0,000000;0,072799
-20,592000;-0,080000;0,004000;0,071401
-20,576000;0,000000;0,000000;0,070083
-20,560000;0,000000;0,004000;0,068839
-20,544000;-0,080000;0,004000;0,067660
-20,528000;0,000000;0,000000;0,066540
-20,512000;0,000000;0,000000;0,065470
-20,496000;0,000000;0,000000;0,064442
-20,480000;0,000000;0,000000;0,063447
-20,464000;0,000000;0,000000;0,062474
-20,448000;0,000000;0,004000;0,061518
-20,432000;0,000000;0,004000;0,060575
-20,416000;-0,080000;0,000000;0,059644
-20,400000;0,000000;0,004000;0,058727
-20,384000;0,000000;0,004000;0,057829
-20,368000;-0,080000;0,004000;0,056956
-20,352000;0,000000;0,000000;0,056110
-20,336000;-0,080000;0,000000;0,055295
-20,320000;0,000000;0,004000;0,054511
-20,304000;-0,080000;0,000000;0,053754
-20,288000;0,000000;0,000000;0,053023
-20,272000;0,000000;0,004000;0,052312
-20,256000;0,000000;0,004000;0,051619
-20,240000;0,000000;0,000000;0,050939
-20,224000;0,000000;0,004000;0,050274
-20,208000;-0,080000;0,000000;0,049625
-20,192000;-0,080000;0,000000;0,048995
-20,176000;0,000000;0,004000;0,048388
-20,160000;0,000000;0,004000;0,047811
-20,144000;0,000000;0,004000;0,047267
-20,128000;0,000000;0,000000;0,046760
-20,112000;0,000000;0,000000;0,046291
-20,096000;0,000000;0,000000;0,045857
-20,080000;-0,080000;0,000000;0,045455
-20,064000;0,000000;0,000000;0,045078
-20,048000;0,000000;0,004000;0,044717
-20,032000;0,000000;0,000000;0,044362
-20,016000;-0,080000;0,004000;0,044005
-20,000000;0,000000;0,000000;0,043636
-19,984000;0,000000;-0,004000;0,043247
-19,968000;0,000000;0,004000;0,042832
-19,952000;-0,080000;0,004000;0,042389
-19,936000;-0,080000;0,004000;0,041917
-19,920000;0,000000;0,000000;0,041421
-19,904000;-0,080000;0,004000;0,040908
-19,888000;0,000000;0,004000;0,040386
-19,872000;-0,080000;0,004000;0,039868
-19,856000;-0,080000;0,004000;0,039363
-19,840000;0,000000;0,004000;0,038881
-19,824000;0,000000;0,000000;0,038429
-19,808000;0,000000;0,000000;0,038012
-19,792000;0,000000;0,004000;0,037628
-19,776000;0,000000;0,004000;0,037276
-19,760000;0,000000;0,000000;0,036950
-19,744000;0,000000;0,000000;0,036642
-19,728000;0,000000;0,004000;0,036346
-19,712000;0,000000;0,000000;0,036054
-19,696000;0,000000;0,000000;0,035762
-19,680000;0,000000;0,004000;0,035466
-19,664000;-0,080000;0,004000;0,035167
-19,648000;0,000000;0,004000;0,034866
-19,632000;0,000000;0,000000;0,034567
-19,616000;-0,080000;0,004000;0,034274
-19,600000;0,000000;0,000000;0,033991
-19,584000;0,000000;0,000000;0,033722
-19,568000;0,000000;0,004000;0,033468
-19,552000;0,000000;0,004000;0,033230
-19,536000;0,000000;0,004000;0,033004
-19,520000;0,000000;0,000000;0,032785
-19,504000;-0,080000;0,000000;0,032564
-19,488000;0,000000;0,000000;0,032332
-19,472000;-0,080000;0,000000;0,032082
-19,456000;-0,080000;0,004000;0,031807
-19,440000;-0,080000;0,004000;0,031504
-19,424000;0,000000;0,004000;0,031177
-19,408000;-0,080000;0,004000;0,030831
-19,392000;0,000000;0,004000;0,030476
